Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,24,1.07244896,84.97555512,0.040791394,78.43754166,79.25981989,80.52476467,82.63523563,84.97555512,87.31121356,89.40951159,90.66354871,91.47728689
2,24.5,1.051272912,85.3973169,0.040859727,78.82133263,79.64776859,80.91946302,83.04213246,85.3973169,87.74917522,89.86315834,91.12706971,91.94741225
2,25.5,1.041951175,86.29026318,0.041142161,79.60197647,80.44225735,81.73540957,83.89430336,86.29026318,88.683435,90.83504785,92.12167631,92.95684975
2,26.5,1.012592236,87.15714182,0.041349399,80.37554759,81.22666181,82.5369944,84.72592034,87.15714182,89.5875095,91.77420584,93.08254082,93.9320912
2,27.5,0.970541909,87.9960184,0.041500428,81.1356973,81.99539596,83.31968453,85.53389245,87.9960184,90.46017565,92.67968776,94.00872819,94.87214661
2,28.5,0.921129988,88.8055115,0.041610508,81.87746051,82.74410888,84.07997909,86.31588888,88.8055115,91.30065173,93.55096822,94.89974364,95.77649339
2,29.5,0.868221392,89.58476689,0.041691761,82.59711819,83.46956585,84.81531679,87.07028387,89.58476689,92.10858598,94.38792816,95.75551171,96.64504712
2,30.5,0.81454413,90.33341722,0.04175368,83.29206184,84.16952943,85.52398013,87.7960919,90.33341722,92.88403041,95.19083262,96.57635253,97.47813528
2,31.5,0.761957977,91.0515436,0.041803562,83.96065415,84.84263937,86.20500071,88.49290603,91.0515436,93.62741325,95.96030359,97.36295103,98.27646264
2,32.5,0.711660228,91.7396352,0.041846882,84.60209562,85.48829708,86.85806752,89.16083624,91.7396352,94.33950841,96.69728978,98.11632342,99.04107435
2,33.5,0.664323379,92.39854429,0.041887626,85.21630353,86.10655881,87.48343922,89.80044644,92.39854429,95.02140026,97.40303421,98.83778417,99.77332166
2,34.5,0.620285102,93.02945392,0.041928568,85.80378996,86.69803144,88.08186325,90.41270297,93.02945392,95.67445723,98.07904266,99.52890698,100.4748164
2,35.5,0.57955631,93.63382278,0.041971514,86.36557262,87.26378819,88.6544988,90.99890839,93.63382278,96.30028751,98.72704954,100.191497,101.1474075
